event_no,club,category,event,round,heat,overall,order,reg_no,fullname,best,value,result,members,summary
87,Lagan Valley AC,Senior Women,Hammer Throw (4Kg),*,1,1,1,179_117-,Lynsey Glover,37.46,37.46,Gold,,Senior Women Hammer Throw (4Kg): 1. Lynsey Glover (37.46) GOLD
87,St Laurence O Toole AC,Senior Women,Hammer Throw (4Kg),*,1,2,2,176_117-,Susie Mitchell,25.83,25.83,Silver,,Senior Women Hammer Throw (4Kg): 2. Susie Mitchell (25.83) SILVER
87,Dundrum South Dublin AC,Senior Women,Hammer Throw (4Kg),*,1,3,3,175_117-,Rachel Dunne,20.19,20.19,Bronze,,Senior Women Hammer Throw (4Kg): 3. Rachel Dunne (20.19) BRONZE
87,Leevale AC,Senior Women,Hammer Throw (4Kg),*,1,4,4,180_117-,Tara O'Connor,14.60,14.6,,,Senior Women Hammer Throw (4Kg): 4. Tara O'Connor (14.60) 
87,Raheny Shamrock,Senior Women,Hammer Throw (4Kg),*,1,0,0,182_117-,Tbc Raheny Shamrock,DNS,-3,,,Senior Women Hammer Throw (4Kg): 0. Tbc Raheny Shamrock (DNS) 
87,Ratoath AC,Senior Women,Hammer Throw (4Kg),*,1,0,0,178_117-,Tbc Ratoath Ac,DNS,-3,,,Senior Women Hammer Throw (4Kg): 0. Tbc Ratoath Ac (DNS) 
87,Donore Harriers,Senior Women,Hammer Throw (4Kg),*,1,0,0,181_117-,Tbc Donore Harriers,DNS,-3,,,Senior Women Hammer Throw (4Kg): 0. Tbc Donore Harriers (DNS) 
87,Clonliffe Harriers,Senior Women,Hammer Throw (4Kg),*,1,0,0,177_117-,Frances Mansfield,DNS,-3,,,Senior Women Hammer Throw (4Kg): 0. Frances Mansfield (DNS) 
89,Sligo,Senior Women,Triple Jump,*,1,1,1,144_119-,Caoimhe Mcdonagh,11.63,11.63,Gold,,Senior Women Triple Jump: 1. Caoimhe Mcdonagh (11.63) GOLD
89,Galway,Senior Women,Triple Jump,*,1,2,2,139_119-,Leanagh Gilligan,9.83,9.83,Silver,,Senior Women Triple Jump: 2. Leanagh Gilligan (9.83) SILVER
89,Louth,Senior Women,Triple Jump,*,1,3,3,143_119-,Cara Miele,9.54,9.54,Bronze,,Senior Women Triple Jump: 3. Cara Miele (9.54) BRONZE
89,Tipperary,Senior Women,Triple Jump,*,1,4,4,140_119-,Clodagh Donohoe,9.47,9.47,,,Senior Women Triple Jump: 4. Clodagh Donohoe (9.47) 
89,Kerry,Senior Women,Triple Jump,*,1,5,5,141_119-,Antonya  Lejwoda,8.93,8.93,,,Senior Women Triple Jump: 5. Antonya  Lejwoda (8.93) 
89,East Cork Athletics Division,Senior Women,Triple Jump,*,1,0,0,142_119-,Tbc East Cork Athletics Division,X,-1,,,Senior Women Triple Jump: 0. Tbc East Cork Athletics Division (X) 
90,Leevale AC,Senior Women,Triple Jump,*,1,1,1,180_120-,Tara Cronin,10.52,10.52,Gold,,Senior Women Triple Jump: 1. Tara Cronin (10.52) GOLD
90,Ratoath AC,Senior Women,Triple Jump,*,1,2,2,178_120-,Claire Rogers,10.09,10.09,Silver,,Senior Women Triple Jump: 2. Claire Rogers (10.09) SILVER
90,Lagan Valley AC,Senior Women,Triple Jump,*,1,3,3,179_120-,Beth Evans,9.70,9.7,Bronze,,Senior Women Triple Jump: 3. Beth Evans (9.70) BRONZE
90,Raheny Shamrock,Senior Women,Triple Jump,*,1,4,4,182_120-,Penny  Clarke Dorian,9.47,9.47,,,Senior Women Triple Jump: 4. Penny  Clarke Dorian (9.47) 
90,Clonliffe Harriers,Senior Women,Triple Jump,*,1,5,5,177_120-,Snezana Bechtina,9.26,9.26,,,Senior Women Triple Jump: 5. Snezana Bechtina (9.26) 
90,Dundrum South Dublin AC,Senior Women,Triple Jump,*,1,6,6,175_120-,Lena  Muzellec,8.61,8.61,,,Senior Women Triple Jump: 6. Lena  Muzellec (8.61) 
90,Donore Harriers,Senior Women,Triple Jump,*,1,7,7,181_120-,Lauren Flaherty,7.87,7.87,,,Senior Women Triple Jump: 7. Lauren Flaherty (7.87) 
90,St Laurence O Toole AC,Senior Women,Triple Jump,*,1,0,0,176_120-,Tbc St Laurence O Toole Ac,0,0,,,Senior Women Triple Jump: 0. Tbc St Laurence O Toole Ac (0) 
92,Galway,Senior Men,Shot Put (7.26kg),*,1,1,1,145_122-,Liam Shaw,14.05,14.05,Gold,,Senior Men Shot Put (7.26kg): 1. Liam Shaw (14.05) GOLD
92,Kerry,Senior Men,Shot Put (7.26kg),*,1,2,2,147_122-,Alan O' Connor,12.47,12.47,Silver,,Senior Men Shot Put (7.26kg): 2. Alan O' Connor (12.47) SILVER
92,Donegal,Senior Men,Shot Put (7.26kg),*,1,3,3,146_122-,Luke Ward,12.00,12,Bronze,,Senior Men Shot Put (7.26kg): 3. Luke Ward (12.00) BRONZE
92,Meath ,Senior Men,Shot Put (7.26kg),*,1,4,4,150_122-,Coil O'Muiri,8.75,8.75,,,Senior Men Shot Put (7.26kg): 4. Coil O'Muiri (8.75) 
92,Sligo,Senior Men,Shot Put (7.26kg),*,1,5,5,148_122-,Sean Flannery,8.10,8.1,,,Senior Men Shot Put (7.26kg): 5. Sean Flannery (8.10) 
92,East Cork Athletics Division,Senior Men,Shot Put (7.26kg),*,1,0,0,149_122-,Tbc East Cork Athletics Division,DNS,-3,,,Senior Men Shot Put (7.26kg): 0. Tbc East Cork Athletics Division (DNS) 
93,Clonliffe Harriers,Senior Men,Shot Put (7.26kg),*,1,1,1,189_123-,Eoin Sheridan,14.85,14.85,Gold,,Senior Men Shot Put (7.26kg): 1. Eoin Sheridan (14.85) GOLD
93,Dundrum South Dublin AC,Senior Men,Shot Put (7.26kg),*,1,2,2,175_123-,Willem  Geuskens,13.50,13.5,Silver,,Senior Men Shot Put (7.26kg): 2. Willem  Geuskens (13.50) SILVER
93,Leevale AC,Senior Men,Shot Put (7.26kg),*,1,3,3,190_123-,Ryan Duggan,12.29,12.29,Bronze,,Senior Men Shot Put (7.26kg): 3. Ryan Duggan (12.29) BRONZE
93,Donore Harriers ,Senior Men,Shot Put (7.26kg),*,1,4,4,198_123-,Oisín Cummins Weiss,10.80,10.8,,,Senior Men Shot Put (7.26kg): 4. Oisín Cummins Weiss (10.80) 
93,Nenagh Olympic AC,Senior Men,Shot Put (7.26kg),*,1,5,5,195_123-,Paul White,9.09,9.09,,,Senior Men Shot Put (7.26kg): 5. Paul White (9.09) 
93,St Abbans AC,Senior Men,Shot Put (7.26kg),*,1,6,6,196_123-,Gerard  Kelly,8.06,8.06,,,Senior Men Shot Put (7.26kg): 6. Gerard  Kelly (8.06) 
93,Ratoath AC,Senior Men,Shot Put (7.26kg),*,1,7,7,197_123-,Hugh Kelly,7.84,7.84,,,Senior Men Shot Put (7.26kg): 7. Hugh Kelly (7.84) 
93,Lagan Valley AC,Senior Men,Shot Put (7.26kg),*,1,8,8,199_123-,Joe Frey,6.84,6.84,,,Senior Men Shot Put (7.26kg): 8. Joe Frey (6.84) 
95,Galway,Senior Men,High Jump,*,1,1,1,145_125-,Darragh Kelly,1.8,1.8,Gold,,Senior Men High Jump: 1. Darragh Kelly (1.8) GOLD
95,Donegal,Senior Men,High Jump,*,1,2,2,146_125-,Oisin  Gillespie,1.8,1.8,Silver,,Senior Men High Jump: 2. Oisin  Gillespie (1.8) SILVER
95,Meath ,Senior Men,High Jump,*,1,3,3,150_125-,Tp Carberry Smith,1.8,1.8,Bronze,,Senior Men High Jump: 3. Tp Carberry Smith (1.8) BRONZE
95,East Cork Athletics Division,Senior Men,High Jump,*,1,4,4,149_125-,Wojciech Fraczek,1.65,1.65,,,Senior Men High Jump: 4. Wojciech Fraczek (1.65) 
95,Sligo,Senior Men,High Jump,*,1,5,5,148_125-,Brian Mccabe,1.55,1.55,,,Senior Men High Jump: 5. Brian Mccabe (1.55) 
95,Kerry,Senior Men,High Jump,*,1,6,6,147_125-,Eoin Malik,1.4,1.4,,,Senior Men High Jump: 6. Eoin Malik (1.4) 
96,Leevale AC,Senior Men,High Jump,*,1,1,1,190_126-,Reece Ademola,1.95,1.95,Gold,,Senior Men High Jump: 1. Reece Ademola (1.95) GOLD
96,Dundrum South Dublin AC,Senior Men,High Jump,*,1,2,2,175_126-,Lorcan  Murphy,1.85,1.85,Silver,,Senior Men High Jump: 2. Lorcan  Murphy (1.85) SILVER
96,Donore Harriers ,Senior Men,High Jump,*,1,3,3,198_126-,Leon Nwedo,1.75,1.75,Bronze,,Senior Men High Jump: 3. Leon Nwedo (1.75) BRONZE
96,Lagan Valley AC,Senior Men,High Jump,*,1,4,4,199_126-,Jude Glover,1.7,1.7,,,Senior Men High Jump: 4. Jude Glover (1.7) 
96,St Abbans AC,Senior Men,High Jump,*,1,5,5,196_126-,Peter  Condron,1.7,1.7,,,Senior Men High Jump: 5. Peter  Condron (1.7) 
96,Clonliffe Harriers,Senior Men,High Jump,*,1,6,6,189_126-,Keith Marks,1.6,1.6,,,Senior Men High Jump: 6. Keith Marks (1.6) 
96,Ratoath AC,Senior Men,High Jump,*,1,7,7,197_126-,Emmet Doyle,1.55,1.55,,,Senior Men High Jump: 7. Emmet Doyle (1.55) 
96,Nenagh Olympic AC,Senior Men,High Jump,*,1,0,0,195_126-,Brendan Lynch,0,0,,,Senior Men High Jump: 0. Brendan Lynch (0) 
98,Galway,Senior Men,Discus Throw (2Kg),*,1,1,1,145_128-,Liam Shaw,44.05,44.05,Gold,,Senior Men Discus Throw (2Kg): 1. Liam Shaw (44.05) GOLD
98,Kerry,Senior Men,Discus Throw (2Kg),*,1,2,2,147_128-,Alan O' Connor,40.53,40.53,Silver,,Senior Men Discus Throw (2Kg): 2. Alan O' Connor (40.53) SILVER
98,Meath ,Senior Men,Discus Throw (2Kg),*,1,3,3,150_128-,Robert Higgins,39.71,39.71,Bronze,,Senior Men Discus Throw (2Kg): 3. Robert Higgins (39.71) BRONZE
98,Donegal,Senior Men,Discus Throw (2Kg),*,1,4,4,146_128-,Finn  O Neill,39.53,39.53,,,Senior Men Discus Throw (2Kg): 4. Finn  O Neill (39.53) 
98,Sligo,Senior Men,Discus Throw (2Kg),*,1,5,5,148_128-,Dean Williams,30.60,30.6,,,Senior Men Discus Throw (2Kg): 5. Dean Williams (30.60) 
98,East Cork Athletics Division,Senior Men,Discus Throw (2Kg),*,1,0,0,149_128-,Tbc East Cork Athletics Division,0,0,,,Senior Men Discus Throw (2Kg): 0. Tbc East Cork Athletics Division (0) 
99,Clonliffe Harriers,Senior Men,Discus Throw (2Kg),*,1,1,1,189_129-,Eoin Sheridan,54.98,54.98,Gold,,Senior Men Discus Throw (2Kg): 1. Eoin Sheridan (54.98) GOLD
99,Leevale AC,Senior Men,Discus Throw (2Kg),*,1,2,2,190_129-,Michael Healy,47.57,47.57,Silver,,Senior Men Discus Throw (2Kg): 2. Michael Healy (47.57) SILVER
99,Dundrum South Dublin AC,Senior Men,Discus Throw (2Kg),*,1,3,3,175_129-,Mark  Tierney,33.84,33.84,Bronze,,Senior Men Discus Throw (2Kg): 3. Mark  Tierney (33.84) BRONZE
99,St Abbans AC,Senior Men,Discus Throw (2Kg),*,1,4,4,196_129-,John  Territt,24.67,24.67,,,Senior Men Discus Throw (2Kg): 4. John  Territt (24.67) 
99,Nenagh Olympic AC,Senior Men,Discus Throw (2Kg),*,1,5,5,195_129-,Aaron Malik,21.26,21.26,,,Senior Men Discus Throw (2Kg): 5. Aaron Malik (21.26) 
99,Lagan Valley AC,Senior Men,Discus Throw (2Kg),*,1,6,6,199_129-,Jason Craig,20.29,20.29,,,Senior Men Discus Throw (2Kg): 6. Jason Craig (20.29) 
99,Donore Harriers ,Senior Men,Discus Throw (2Kg),*,1,7,7,198_129-,Alex Conway,17.39,17.39,,,Senior Men Discus Throw (2Kg): 7. Alex Conway (17.39) 
99,Ratoath AC,Senior Men,Discus Throw (2Kg),*,1,0,0,197_129-,Tbc Ratoath Ac,0,0,,,Senior Men Discus Throw (2Kg): 0. Tbc Ratoath Ac (0) 
101,East Cork Athletics Division,Senior Women,Pole Vault,*,1,1,1,142_131-,Maebh Corkery,3.1,3.1,Gold,,Senior Women Pole Vault: 1. Maebh Corkery (3.1) GOLD
101,Kerry,Senior Women,Pole Vault,*,1,2,2,141_131-,Naoise  Cronin ,1.85,1.85,Silver,,Senior Women Pole Vault: 2. Naoise  Cronin  (1.85) SILVER
101,Tipperary,Senior Women,Pole Vault,*,1,3,3,140_131-,Clodagh Donohoe,1.55,1.55,Bronze,,Senior Women Pole Vault: 3. Clodagh Donohoe (1.55) BRONZE
101,Sligo,Senior Women,Pole Vault,*,1,0,0,144_131-,Tbc Sligo,0,0,,,Senior Women Pole Vault: 0. Tbc Sligo (0) 
101,Galway,Senior Women,Pole Vault,*,1,0,0,139_131-,Danielle Fitzpatrick,0,0,,,Senior Women Pole Vault: 0. Danielle Fitzpatrick (0) 
101,Louth,Senior Women,Pole Vault,*,1,0,0,143_131-,Tbc Louth,0,0,,,Senior Women Pole Vault: 0. Tbc Louth (0) 
102,Leevale AC,Senior Women,Pole Vault,*,1,1,1,180_132-,Una Brice,3.2,3.2,Gold,,Senior Women Pole Vault: 1. Una Brice (3.2) GOLD
102,St Laurence O Toole AC,Senior Women,Pole Vault,*,1,2,2,176_132-,Molly  Travers,1.85,1.85,Silver,,Senior Women Pole Vault: 2. Molly  Travers (1.85) SILVER
102,Dundrum South Dublin AC,Senior Women,Pole Vault,*,1,2,2,175_132-,Alison Beck,1.85,1.85,Silver,,Senior Women Pole Vault: 2. Alison Beck (1.85) SILVER
102,Clonliffe Harriers,Senior Women,Pole Vault,*,1,4,4,177_132-,Snezana Bechtina,1.85,1.85,,,Senior Women Pole Vault: 4. Snezana Bechtina (1.85) 
102,Ratoath AC,Senior Women,Pole Vault,*,1,0,0,178_132-,Joy Osas,0,0,,,Senior Women Pole Vault: 0. Joy Osas (0) 
102,Donore Harriers,Senior Women,Pole Vault,*,1,0,0,181_132-,Tbc Donore Harriers,0,0,,,Senior Women Pole Vault: 0. Tbc Donore Harriers (0) 
102,Lagan Valley AC,Senior Women,Pole Vault,*,1,0,0,179_132-,Tbc Lagan Valley Ac,0,0,,,Senior Women Pole Vault: 0. Tbc Lagan Valley Ac (0) 
102,Raheny Shamrock,Senior Women,Pole Vault,*,1,0,0,182_132-,Tbc Raheny Shamrock,0,0,,,Senior Women Pole Vault: 0. Tbc Raheny Shamrock (0) 
104,Galway,Senior Men,Triple Jump,*,1,1,1,145_134-,Darragh Fahy,13.34,13.34,Gold,,Senior Men Triple Jump: 1. Darragh Fahy (13.34) GOLD
104,Kerry,Senior Men,Triple Jump,*,1,2,2,147_134-,Eoin  Malik,12.68,12.68,Silver,,Senior Men Triple Jump: 2. Eoin  Malik (12.68) SILVER
104,Donegal,Senior Men,Triple Jump,*,1,3,3,146_134-,Elvis Okoh,12.30,12.3,Bronze,,Senior Men Triple Jump: 3. Elvis Okoh (12.30) BRONZE
104,East Cork Athletics Division,Senior Men,Triple Jump,*,1,4,4,149_134-,Alex Jaworski,12.28,12.28,,,Senior Men Triple Jump: 4. Alex Jaworski (12.28) 
104,Meath ,Senior Men,Triple Jump,*,1,5,5,150_134-,Thomas Paul Smith Carberry,11.44,11.44,,,Senior Men Triple Jump: 5. Thomas Paul Smith Carberry (11.44) 
104,Sligo,Senior Men,Triple Jump,*,1,6,6,148_134-,Tom Mccabe,11.29,11.29,,,Senior Men Triple Jump: 6. Tom Mccabe (11.29) 
105,Dundrum South Dublin AC,Senior Men,Triple Jump,*,1,1,1,175_135-,Darragh  Mcconville,12.82,12.82,Gold,,Senior Men Triple Jump: 1. Darragh  Mcconville (12.82) GOLD
105,Donore Harriers ,Senior Men,Triple Jump,*,1,2,2,198_135-,Michael Mccarthy Snr,12.11,12.11,Silver,,Senior Men Triple Jump: 2. Michael Mccarthy Snr (12.11) SILVER
105,Nenagh Olympic AC,Senior Men,Triple Jump,*,1,3,3,195_135-,Brendan Lynch,11.75,11.75,Bronze,,Senior Men Triple Jump: 3. Brendan Lynch (11.75) BRONZE
105,Ratoath AC,Senior Men,Triple Jump,*,1,4,4,197_135-,James Kelly,11.55,11.55,,,Senior Men Triple Jump: 4. James Kelly (11.55) 
105,Clonliffe Harriers,Senior Men,Triple Jump,*,1,5,5,189_135-,Eamonn Fahey,11.28,11.28,,,Senior Men Triple Jump: 5. Eamonn Fahey (11.28) 
105,Lagan Valley AC,Senior Men,Triple Jump,*,1,6,6,199_135-,Maurice Parke,10.22,10.22,,,Senior Men Triple Jump: 6. Maurice Parke (10.22) 
105,Leevale AC,Senior Men,Triple Jump,*,1,0,0,190_135-,Matthew Wilkins,-,-2,,,Senior Men Triple Jump: 0. Matthew Wilkins (-) 
105,St Abbans AC,Senior Men,Triple Jump,*,1,0,0,196_135-,David Baldwin,0,0,,,Senior Men Triple Jump: 0. David Baldwin (0) 
107,Tipperary,Senior Women,Weight For Distance (28lbs),*,1,1,1,140_137-,Laura Frawley,7.30,7.3,Gold,,Senior Women Weight For Distance (28lbs): 1. Laura Frawley (7.30) GOLD
107,Kerry,Senior Women,Weight For Distance (28lbs),*,1,2,2,141_137-,Mairead  O'Neill ,6.48,6.48,Silver,,Senior Women Weight For Distance (28lbs): 2. Mairead  O'Neill  (6.48) SILVER
107,East Cork Athletics Division,Senior Women,Weight For Distance (28lbs),*,1,3,3,142_137-,Leah Parker,5.39,5.39,Bronze,,Senior Women Weight For Distance (28lbs): 3. Leah Parker (5.39) BRONZE
107,Sligo,Senior Women,Weight For Distance (28lbs),*,1,4,4,144_137-,Carmel O'Neill,4.78,4.78,,,Senior Women Weight For Distance (28lbs): 4. Carmel O'Neill (4.78) 
107,Louth,Senior Women,Weight For Distance (28lbs),*,1,5,5,143_137-,Emma Conway,4.61,4.61,,,Senior Women Weight For Distance (28lbs): 5. Emma Conway (4.61) 
107,Galway,Senior Women,Weight For Distance (28lbs),*,1,6,6,139_137-,Mary Barrett,4.22,4.22,,,Senior Women Weight For Distance (28lbs): 6. Mary Barrett (4.22) 
108,Dundrum South Dublin AC,Senior Women,Weight For Distance (28lbs),*,1,1,1,175_138-,Rachel Dunne,5.49,5.49,Gold,,Senior Women Weight For Distance (28lbs): 1. Rachel Dunne (5.49) GOLD
108,St Laurence O Toole AC,Senior Women,Weight For Distance (28lbs),*,1,2,2,176_138-,Susie Mitchell,5.28,5.28,Silver,,Senior Women Weight For Distance (28lbs): 2. Susie Mitchell (5.28) SILVER
108,Lagan Valley AC,Senior Women,Weight For Distance (28lbs),*,1,3,3,179_138-,Suzie Cave,5.16,5.16,Bronze,,Senior Women Weight For Distance (28lbs): 3. Suzie Cave (5.16) BRONZE
108,Ratoath AC,Senior Women,Weight For Distance (28lbs),*,1,4,4,178_138-,Siobheal Murray,5.15,5.15,,,Senior Women Weight For Distance (28lbs): 4. Siobheal Murray (5.15) 
108,Clonliffe Harriers,Senior Women,Weight For Distance (28lbs),*,1,5,5,177_138-,Vivian Okafor,5.04,5.04,,,Senior Women Weight For Distance (28lbs): 5. Vivian Okafor (5.04) 
108,Leevale AC,Senior Women,Weight For Distance (28lbs),*,1,6,6,180_138-,Julia Duszynska,3.52,3.52,,,Senior Women Weight For Distance (28lbs): 6. Julia Duszynska (3.52) 
108,Donore Harriers,Senior Women,Weight For Distance (28lbs),*,1,7,7,181_138-,Ann Gormley,2.91,2.91,,,Senior Women Weight For Distance (28lbs): 7. Ann Gormley (2.91) 
108,Raheny Shamrock,Senior Women,Weight For Distance (28lbs),*,1,0,0,182_138-,Tbc Raheny Shamrock,0,0,,,Senior Women Weight For Distance (28lbs): 0. Tbc Raheny Shamrock (0) 
110,Louth,Senior Women,Javelin Throw (600g),*,1,1,1,143_140-,Amy Mcteggart,33.04,33.04,Gold,,Senior Women Javelin Throw (600g): 1. Amy Mcteggart (33.04) GOLD
110,Tipperary,Senior Women,Javelin Throw (600g),*,1,2,2,140_140-,Jade Barry,31.61,31.61,Silver,,Senior Women Javelin Throw (600g): 2. Jade Barry (31.61) SILVER
110,Kerry,Senior Women,Javelin Throw (600g),*,1,3,3,141_140-,Abby  Littlejohn ,28.64,28.64,Bronze,,Senior Women Javelin Throw (600g): 3. Abby  Littlejohn  (28.64) BRONZE
110,Galway,Senior Women,Javelin Throw (600g),*,1,4,4,139_140-,Annalysse Nally,23.68,23.68,,,Senior Women Javelin Throw (600g): 4. Annalysse Nally (23.68) 
110,East Cork Athletics Division,Senior Women,Javelin Throw (600g),*,1,5,5,142_140-,Lily O'Riordan,21.65,21.65,,,Senior Women Javelin Throw (600g): 5. Lily O'Riordan (21.65) 
110,Sligo,Senior Women,Javelin Throw (600g),*,1,0,0,144_140-,Tbc Sligo,0,0,,,Senior Women Javelin Throw (600g): 0. Tbc Sligo (0) 
112,Leevale AC,Senior Women,Javelin Throw (600g),*,1,1,1,180_141-,Katie Kingston,38.29,38.29,Gold,,Senior Women Javelin Throw (600g): 1. Katie Kingston (38.29) GOLD
112,Dundrum South Dublin AC,Senior Women,Javelin Throw (600g),*,1,2,2,175_141-,Anita White,37.66,37.66,Silver,,Senior Women Javelin Throw (600g): 2. Anita White (37.66) SILVER
112,Clonliffe Harriers,Senior Women,Javelin Throw (600g),*,1,3,3,177_141-,Mia Primke,35.61,35.61,Bronze,,Senior Women Javelin Throw (600g): 3. Mia Primke (35.61) BRONZE
112,St Laurence O Toole AC,Senior Women,Javelin Throw (600g),*,1,4,4,176_141-,Isabelle Mccormack,28.74,28.74,,,Senior Women Javelin Throw (600g): 4. Isabelle Mccormack (28.74) 
112,Ratoath AC,Senior Women,Javelin Throw (600g),*,1,5,5,178_141-,Tbc Ratoath Ac,22.14,22.14,,,Senior Women Javelin Throw (600g): 5. Tbc Ratoath Ac (22.14) 
112,Donore Harriers,Senior Women,Javelin Throw (600g),*,1,6,6,181_141-,Zion Osasanaga Osawe,17.89,17.89,,,Senior Women Javelin Throw (600g): 6. Zion Osasanaga Osawe (17.89) 
112,Lagan Valley AC,Senior Women,Javelin Throw (600g),*,1,7,7,179_141-,Lynsey Glover,14.97,14.97,,,Senior Women Javelin Throw (600g): 7. Lynsey Glover (14.97) 
112,Raheny Shamrock,Senior Women,Javelin Throw (600g),*,1,8,8,182_141-,Katerina  Ledecka,11.63,11.63,,,Senior Women Javelin Throw (600g): 8. Katerina  Ledecka (11.63) 
114,East Cork Athletics Division,Senior Women,Discus Throw (1Kg),*,1,1,1,142_143-,Blessing Alamu,35.64,35.64,Gold,,Senior Women Discus Throw (1Kg): 1. Blessing Alamu (35.64) GOLD
114,Tipperary,Senior Women,Discus Throw (1Kg),*,1,2,2,140_143-,Niamh Madden,33.76,33.76,Silver,,Senior Women Discus Throw (1Kg): 2. Niamh Madden (33.76) SILVER
114,Kerry,Senior Women,Discus Throw (1Kg),*,1,3,3,141_143-,Niamh  O'Shea,31.35,31.35,Bronze,,Senior Women Discus Throw (1Kg): 3. Niamh  O'Shea (31.35) BRONZE
114,Sligo,Senior Women,Discus Throw (1Kg),*,1,4,4,144_143-,Mary O'Meara,26.78,26.78,,,Senior Women Discus Throw (1Kg): 4. Mary O'Meara (26.78) 
114,Louth,Senior Women,Discus Throw (1Kg),*,1,5,5,143_143-,Josephine Fagbemi,26.62,26.62,,,Senior Women Discus Throw (1Kg): 5. Josephine Fagbemi (26.62) 
114,Galway,Senior Women,Discus Throw (1Kg),*,1,6,6,139_143-,Juno Hayes,25.17,25.17,,,Senior Women Discus Throw (1Kg): 6. Juno Hayes (25.17) 
115,St Laurence O Toole AC,Senior Women,Discus Throw (1Kg),*,1,1,1,176_144-,Chloe Ryan,36.53,36.53,Gold,,Senior Women Discus Throw (1Kg): 1. Chloe Ryan (36.53) GOLD
115,Leevale AC,Senior Women,Discus Throw (1Kg),*,1,2,2,180_144-,Rebecca Walsh,33.56,33.56,Silver,,Senior Women Discus Throw (1Kg): 2. Rebecca Walsh (33.56) SILVER
115,Clonliffe Harriers,Senior Women,Discus Throw (1Kg),*,1,3,3,177_144-,Mia Primke,27.40,27.4,Bronze,,Senior Women Discus Throw (1Kg): 3. Mia Primke (27.40) BRONZE
115,Lagan Valley AC,Senior Women,Discus Throw (1Kg),*,1,4,4,179_144-,Ciara Burrows,24.69,24.69,,,Senior Women Discus Throw (1Kg): 4. Ciara Burrows (24.69) 
115,Dundrum South Dublin AC,Senior Women,Discus Throw (1Kg),*,1,5,5,175_144-,Anita White,22.46,22.46,,,Senior Women Discus Throw (1Kg): 5. Anita White (22.46) 
115,Ratoath AC,Senior Women,Discus Throw (1Kg),*,1,0,0,178_144-,Tbc Ratoath Ac,0,0,,,Senior Women Discus Throw (1Kg): 0. Tbc Ratoath Ac (0) 
115,Donore Harriers,Senior Women,Discus Throw (1Kg),*,1,0,0,181_144-,Melady Omozee,X,-1,,,Senior Women Discus Throw (1Kg): 0. Melady Omozee (X) 
115,Raheny Shamrock,Senior Women,Discus Throw (1Kg),*,1,0,0,182_144-,Niamh  Fogarty ,0,0,,,Senior Women Discus Throw (1Kg): 0. Niamh  Fogarty  (0) 
117,Tipperary,Senior Women,Long Jump,*,1,1,1,140_146-,Emma O'Neill,5.33,5.33,Gold,,Senior Women Long Jump: 1. Emma O'Neill (5.33) GOLD
117,Galway,Senior Women,Long Jump,*,1,2,2,139_146-,Alisha Larkin,5.00,5,Silver,,Senior Women Long Jump: 2. Alisha Larkin (5.00) SILVER
117,East Cork Athletics Division,Senior Women,Long Jump,*,1,3,3,142_146-,Blessing Alamu,4.81,4.81,Bronze,,Senior Women Long Jump: 3. Blessing Alamu (4.81) BRONZE
117,Louth,Senior Women,Long Jump,*,1,4,4,143_146-,Victoria Ovie,4.74,4.74,,,Senior Women Long Jump: 4. Victoria Ovie (4.74) 
117,Kerry,Senior Women,Long Jump,*,1,5,5,141_146-,Antonya  Lejwoda,4.47,4.47,,,Senior Women Long Jump: 5. Antonya  Lejwoda (4.47) 
117,Sligo,Senior Women,Long Jump,*,1,6,6,144_146-,Erin Walsh,3.25,3.25,,,Senior Women Long Jump: 6. Erin Walsh (3.25) 
118,Dundrum South Dublin AC,Senior Women,Long Jump,*,1,1,1,175_147-,Louise King,5.11,5.11,Gold,,Senior Women Long Jump: 1. Louise King (5.11) GOLD
118,Leevale AC,Senior Women,Long Jump,*,1,2,2,180_147-,Tara Cronin,5.00,5,Silver,,Senior Women Long Jump: 2. Tara Cronin (5.00) SILVER
118,Donore Harriers,Senior Women,Long Jump,*,1,3,3,181_147-,Zion Osasanaga Osawe,4.88,4.88,Bronze,,Senior Women Long Jump: 3. Zion Osasanaga Osawe (4.88) BRONZE
118,Ratoath AC,Senior Women,Long Jump,*,1,4,4,178_147-,Eabha Hanley,4.79,4.79,,,Senior Women Long Jump: 4. Eabha Hanley (4.79) 
118,Lagan Valley AC,Senior Women,Long Jump,*,1,5,5,179_147-,Beth Evans,4.44,4.44,,,Senior Women Long Jump: 5. Beth Evans (4.44) 
118,Raheny Shamrock,Senior Women,Long Jump,*,1,6,6,182_147-,Penny Clarke Dorian,4.40,4.4,,,Senior Women Long Jump: 6. Penny Clarke Dorian (4.40) 
118,St Laurence O Toole AC,Senior Women,Long Jump,*,1,7,7,176_147-,Edel Hayden,4.09,4.09,,,Senior Women Long Jump: 7. Edel Hayden (4.09) 
118,Clonliffe Harriers,Senior Women,Long Jump,*,1,8,8,177_147-,Caoimhe Del Bello,3.70,3.7,,,Senior Women Long Jump: 8. Caoimhe Del Bello (3.70) 
120,Donegal,Senior Men,Javelin Throw (800g),*,1,1,1,146_149-,Dylan  Kearns,55.43,55.43,Gold,,Senior Men Javelin Throw (800g): 1. Dylan  Kearns (55.43) GOLD
